,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22,-9,-6,-1,21,26,-2,5,5,0,1,2,-20,-51,-8,-9,0,-3,-6,-8,12,7,1,1,6,2,1,-3,-17,-15,-1,9,15,5,1,-1,-4,-37,-9,-7,4,-6,0,2,-3,-2,-4,-3,-29,0,3,6,7,12,7,-10,-15,-6,-3,3,20,25,1,1,3
-7,0,1,0,-13,-18,0,-9,-6,-2,-3,-4,4,-12,-9,-4,16,0,1,-2,-4,-34,0,-3,-5,-4,-3,-1,-12,-4,-8,-16,-4,1,1,1,2,-16,8,7,-7,-6,-5,0,37,32,2,4,-1,7,6,4,-34,-40,3,-1,11,-4,-5,-4,3,-8,-7,-3,3
-6,-6,-6,-8,25,43,-4,7,6,1,2,3,-9,-28,12,2,6,13,2,2,3,10,6,8,-7,-4,-4,-5,-6,-15,0,1,-6,2,3,9,10,19,4,-12,-3,-3,-5,-11,-4,-69,-18,-2,9,-6,-1,3,14,90,11,3,2,1,3,-1,1,9,4,4,3
2,1,1,1,0,-23,2,-6,-1,-2,-1,-7,-10,2,2,-3,-2,-12,-8,-3,-4,-61,-15,-1,-27,1,2,2,-3,13,-1,-3,-2,-6,-4,-4,-5,0,1,-2,1,3,1,-2,-3,10,-3,-13,8,3,3,3,-2,-8,6,16,-3,-1,-1,-3,0,-3,4,3,3
0,3,4,5,1,25,-9,0,0,1,3,2,-10,-7,13,5,0,-3,-4,-6,-7,-2,-7,-11,8,1,-1,-1,2,10,-3,-10,-7,0,-3,-2,-8,-35,-2,20,-3,-7,-1,6,18,106,11,-1,10,-2,0,2,24,27,2,1,6,2,1,-3,-20,-42,-4,2,3
-11,-2,-5,1,-7,-11,-4,-23,-9,0,-1,-3,-18,-26,-7,4,-9,0,-1,-1,1,42,8,5,8,3,4,7,2,-3,6,-8,1,0,0,-2,-8,6,-3,1,5,4,2,-1,-11,-46,-7,1,-10,-9,-5,-3,7,-32,-20,-4,9,1,2,8,21,41,15,9,3
-20,1,2,-2,-6,-12,13,1,19,3,0,4,17,36,0,3,-3,-2,-5,-7,-6,-23,-2,-9,-14,-6,-5,-2,23,0,-7,26,3,1,0,-7,-49,-29,-14,-14,-11,-2,-1,2,6,19,6,2,5,2,4,2,7,-2,6,8,-4,-4,-3,-3,15,0,-1,-2,3
17,-2,-1,-5,-4,1,-8,6,-24,1,0,-1,1,-44,-5,-25,23,1,1,4,11,53,7,9,0,-2,-3,-4,4,-1,-3,12,3,0,0,-4,-8,6,-5,-5,14,2,2,5,8,53,6,10,-16,-4,-4,-2,-1,-12,-6,-6,0,-1,-5,-8,-7,-30,-7,-5,3
0,-2,-2,1,17,-5,4,-4,-3,-8,-6,-5,-2,-21,-19,-11,-8,1,3,0,6,4,12,-1,4,0,1,0,-39,3,4,-5,-3,-2,-3,2,12,17,-2,-9,-7,-2,-2,-4,3,12,7,-3,28,1,-1,-1,7,-12,-13,1,8,-3,-6,-3,-4,-26,-5,-2,3
-9,4,6,7,13,18,15,11,6,-2,0,1,-13,-16,-1,11,-20,-4,-6,-8,-13,-24,-10,-2,-2,4,4,4,6,20,4,3,12,2,0,2,0,12,-1,-10,-3,-5,-2,-3,0,-26,-11,4,-8,-2,0,3,-15,12,2,-5,-1,0,0,-1,1,-67,-1,-5,3
